1,131,777,2072,2322,1304,537,1477,1180,2333,3999,1436,3480,1446,2471,1320,3497,1673,3628,562,2932,823,2490,1341,1473,2500,1093,1350,455,3912,2636,2253,979,1493,1497,92,349,990,2785,3556,3755,1904,2931,2676,1277,1842,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2618,3594,527,814,670,671,2822,3620,1573,3112,941,686,2229,312,1461,2244,2248,1610,2892,467,980,3542,1368,1881,1633,2530,101,3118,1384,362,3155,2547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1922,3675,6,1026,10,2702,2194,1555,3614,159,2210,2211,3367,2856,3887,1973,2871,3384,697,2101,60,1337,1349,1378,2890,2251,973,2768,889,1236,3927,3930,3163,3168,1122,3431,3858,3347,1135,3234,468,246,3959,1785,1019,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3585,3971,1413,2566,2696,1545,267,2189,1422,3983,3475,1428,3807,2456,133,2331,3100,3254,3036,549,2470,2858,557,2095,2864,2164,822,2232,3936,832,2786,1486,1806,2385,722,3540,2140,479,864,1506,2665,1515,3948,1646,2031,625,244,3445,2042,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2691,3948,1157,3703,2823,1032,3209,3723,2451,404,2456,1819,2718,1056,420,3621,3494,4008,1706,3720,953,4021,2742,1593,699,963,2885,1143,71,78,1233,1106,2003,1625,3419,2524,4027,3782,993,2146,227,3045,103,232,1387,2412,1133,2289,3955,631,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,2693,902,3463,2313,1945,2821,1692,867,2847,1953,3234,1699,3740,168,3883,1067,1197,49,2227,311,3617,957,1342,1728,2785,3395,1348,2501,3270,3528,78,2000,3834,1113,1757,862,3679,2401,1379,2984,2686,2034,1912,3112,1532,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2433,648,3821,779,398,1953,1955,3620,806,2345,3626,556,1843,3401,307,1524,1977,4027,3645,4031,196,583,73,3146,120,977,2676,1749,1755,2653,2791,1512,3307,2664,1517,2164,2934,1016,2682,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,641,3970,3974,3465,2157,652,655,530,3997,1055,1828,2726,1961,1706,2997,3133,1219,3909,1606,456,2505,972,3407,3408,2899,3797,3791,471,1498,347,1244,609,483,356,1254,1767,1810,749,879,116,373,2424,3192,762,3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,257,3204,646,3207,1034,2832,3730,3988,3607,920,1242,1565,2975,2464,3105,802,163,1958,2983,2600,3626,428,2359,1208,1211,2720,1214,2628,1736,1354,3896,1187,1103,2638,2387,2775,1754,3806,3807,1377,3170,3683,2789,3686,880,2417,2166,253,510,2047,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3969,3586,3,261,3591,1672,3082,2179,2703,915,916,2453,790,3735,3736,3808,1186,931,2952,2218,2476,3245,3758,2224,1073,949,694,3642,1723,3260,960,2113,881,67,2120,76,589,1105,2904,3290,2782,3039,3296,2534,1265,3698,3423,2168,3008,3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
